Country,Visitors,Latitude,Longitude
Aruba,1082000.0,12.5013629,-69.9618475
Angola,218000.0,-11.8775768,17.5691241
Albania,5340000.0,5.7587654,-73.9151617
Andorra,3042000.0,42.5407167,1.5732033
Arab World,101463695.274466,23.5752013,58.3967978
United Arab Emirates,21286000.0,24.0002488,53.9994829
Argentina,6942000.0,-34.9964963,-64.9672817
Armenia,1652000.0,4.536307,-75.6723751
American Samoa,20200.0,-14.297124,-170.7131481
Antigua and Barbuda,269000.0,17.2234721,-61.9554608
Australia,9246000.0,-24.7761086,134.755
Austria,30816000.0,47.59397,14.12456
Azerbaijan,2633000.0,40.3936294,47.7872508
Belgium,9119000.0,50.6402809,4.6667145
Benin,295000.0,9.5293472,2.2584408
Burkina Faso,144000.0,12.0753083,-1.6880314
Bulgaria,9273000.0,42.6073975,25.4856617
Bahrain,12045000.0,26.030093,50.553336789123236
"Bahamas, The",1633000.0,-33.97720307259994,18.556977829649856
Bosnia and Herzegovina,1053000.0,44.3053476,17.5961467
Belarus,11501600.0,53.4250605,27.6971358
Belize,489000.0,17.1204943,-88.6859028
Bermuda,282000.0,32.3040273,-64.7563086
Bolivia,1142000.0,-17.0568696,-64.9912286
Brazil,6621000.0,-10.3333333,-53.2
Barbados,680000.0,13.1500331,-59.5250305
Brunei Darussalam,278000.0,4.4137155,114.5653908
Bhutan,274000.0,27.549511,90.5119273
Canada,21134000.0,61.0666922,-107.991707
Switzerland,10362000.0,46.7985624,8.2319736
Chile,5723000.0,-31.7613365,-71.3187697
China,62900000.0,35.0000663,104.999955
Cote d'Ivoire,1965000.0,7.9897371,-5.5679458
Colombia,3904000.0,4.099917,-72.9088133
Comoros,35900.0,-12.2045176,44.2832964
Cabo Verde,710000.0,16.0000552,-24.0083947
Costa Rica,3017000.0,10.2735633,-84.0739102
Cuba,4684000.0,23.0131338,-80.8328748
Curacao,432000.0,12.1176488,-68.9309263
Cayman Islands,463000.0,19.703182249999998,-79.9174627243246
Cyprus,3939000.0,34.9174159,32.889902651331866
Czech Republic,10611000.0,49.7439047,15.3381061
Germany,38881000.0,51.1638175,10.4478313
Dominica,63000.0,15.4113138,-61.3653618
Denmark,12749000.0,55.670249,10.3333283
Dominican Republic,6569000.0,19.0974031,-70.3028026
Algeria,2657000.0,28.0000272,2.9999825
East Asia & Pacific,320268446.7445,1.3195601,103.63160332933754
Europe & Central Asia,712592479.690818,46.2286278,6.1346858
Ecuador,2535000.0,-1.3397668,-79.3666965
Euro area,413959200.0,52.0603991,-0.7471689
Spain,82773000.0,39.3260685,-4.8379791
Estonia,3234000.0,58.7523778,25.3319078
Ethiopia,849000.0,10.2116702,38.6521203
European Union,555887200.0,42.6795963,23.3214829
Finland,3224000.0,63.2467777,25.9209164
Fiji,870000.0,-18.1239696,179.0122737
France,89322000.0,46.603354,1.8883335
United Kingdom,36316000.0,54.7023545,-3.2765753
Georgia,4757000.0,32.3293809,-83.1137366
"Gambia, The",552000.0,51.5041811,-0.10282675
Greece,30123000.0,38.9953683,21.9877132
Grenada,185000.0,12.1360374,-61.6904045
Guatemala,1781000.0,15.5855545,-90.345759
Guam,1549000.0,13.4499943,144.7651677
Guyana,287000.0,4.8417097,-58.6416891
High income,866650998.157859,43.6656307,-79.4730578
"Hong Kong SAR, China",29263000.0,22.350627,114.1849161
Croatia,16645000.0,45.3658443,15.6575209
Haiti,447000.0,19.1399952,-72.3570972
Hungary,17552000.0,47.1817585,19.5060937
Indonesia,15810000.0,-2.4833826,117.8902853
